alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
5.0 2 2 0.006884651774104568 0.0008923803859824559 -0.07780228625946303 0.008976765803369572 0.006578764969067809 0.036440221276129774 -0.07421925343628556 0.3665644928467905 0.004870175052712686 0.05253878159483136 -0.05420929874947786 0.5284973905725401
6.0 2 2 0.006049213409335787 0.0007957042922193735 -0.059808309544977775 0.008026369006413816 0.005755738806424827 0.0341826321986049 -0.05642961906760393 0.3448041572634572 0.004143044378479988 0.0498988183230985 -0.03776425312956879 0.5033285437842182
7.0 2 2 0.005596436537791739 0.000687789428000946 -0.04813760580581402 0.007010215239694363 0.0053630759517615595 0.02958919891930548 -0.04541706179797093 0.30158427667141363 0.0040102128127050265 0.04382602548576408 -0.02958302721819133 0.4466861059996684
8.0 2 2 0.005349568588411246 0.0006883785186224068 -0.040287422673892806 0.0070412060325281845 0.005093191623324699 0.029676364363434914 -0.037334428036077796 0.30354987260447575 0.003767199685500144 0.044283023365760184 -0.02177207161233607 0.4529516064669622
9.0 2 2 0.005160676316139336 0.0007423226471602354 -0.0343439781841673 0.007602383656084527 0.004943785123738796 0.027318656505319262 -0.03182546376332107 0.2797796128810674 0.003687428820311196 0.04057177196921778 -0.017175505441367818 0.4155046834649668
10.0 2 2 0.0042645786687077955 0.0007162179088317428 -0.021166284415672705 0.00789346152366829 0.0041351323794005254 0.022518025843797675 -0.019605254557230646 0.24817184127411185 0.003364500718068036 0.03314859788792582 -0.010318713160102575 0.3653301532428482
11.0 2 2 0.00579249099597872 0.0007129074139052579 -0.03596189560526179 0.006516144389907333 0.0055473870700988364 0.04198518966810947 -0.03310136421210793 0.38375432978204876 0.0040732671098322555 0.06283552773791037 -0.015865630589268674 0.574323705353679
12.0 2 2 0.004151497871062247 0.00046348094932292545 -0.01571555935262395 0.0051281661617937485 0.004018865900791188 0.020234878698718737 -0.014122602369559624 0.22388791725050483 0.0032278782939146994 0.031495731964870786 -0.004516628612954176 0.34848135498223826
13.0 2 2 0.0055236848153410656 0.0006347311040117275 -0.029704655799387927 0.005806153581546471 0.00527686294883024 0.04186001050739883 -0.026839815010153017 0.3829108546789115 0.0038221352988947804 0.06280336912119754 -0.009834803029573716 0.5744811201335185
14.0 2 2 0.003460799987577291 0.0006281700640810096 -0.004877389310849195 0.007030337020135251 0.003356321617237878 0.017525985724148506 -0.0036149094503685713 0.19614680902387893 0.0026602893038939488 0.028265459102407322 0.004876604843282885 0.31633917005744705
