N dim alpha_a alpha_g N_samples per_short std_short per_ass std_ass per_dia std_dia
20000.0 1.0 0.0 2.0 403.0 0.25956095725349815 0.5222255896083309 1.1192814728010152 0.0109810798753637 0.3158652860265247 1.7310954568025554
10000.0 4.0 0.0 2.0 1271.0 0.1503606983469479 0.4975151481412925 0.5899783822054842 0.0127397709468292 0.1952194033950327 1.723847031264553
160000.0 4.0 0.0 2.0 13.0 1.478706113753429 0.6415434468769589 7.22156333557933 0.0062857011428871 1.6443880255842862 1.983909634004895
160000.0 3.0 0.0 2.0 11.0 1.3454065303566198 0.534630605184552 9.046613763616907 0.0068454308544392 1.285745716705823 1.4459976109624426
40000.0 2.0 0.0 2.0 259.0 0.3068853232039123 0.5289868927033571 1.513563455832282 0.0094210717878034 0.411157367277398 1.9564716378321807
80000.0 1.0 0.0 2.0 101.0 0.4458365004802774 0.5056363445288667 2.836076662084945 0.0083958706140156 0.6367043560178407 2.0317772544944948
40000.0 3.0 0.0 2.0 258.0 0.2883944695692153 0.494102940698479 1.4005232986430223 0.0085753985799603 0.4009127182548171 1.9006838667867725
320000.0 4.0 0.0 2.0 6.0 1.2816251842787734 0.3999330881535058 12.069082148981703 0.0052947055988978 0.9174311926605503 0.816496580927726
5000.0 3.0 0.0 2.0 1052.0 0.18866567605501922 0.5254503850787128 0.6623171668520044 0.0162507813884774 0.24279354789792698 1.7825568255781006
5000.0 2.0 0.0 2.0 1052.0 0.1832973375569058 0.5091374797008644 0.6415408698625015 0.0155790381560601 0.2389156660533635 1.7455412913561343
320000.0 3.0 0.0 2.0 6.0 1.57249223449108 0.4831349352579118 7.995548286532005 0.0033363462224415 2.446710967364787 2.097617696340304
160000.0 2.0 0.0 2.0 11.0 1.4972144494190678 0.6080023887512885 9.60613702094162 0.0081135596919096 1.6178269604649642 1.8877596148970777
40000.0 1.0 0.0 2.0 261.0 0.30433828002671137 0.5248680561325216 1.5163527117454292 0.0094105742481013 0.3812682233468828 1.809641141499595
20000.0 4.0 0.0 2.0 403.0 0.2705958278989242 0.5461785580658811 1.1787890972163166 0.0115838180492848 0.3494249148760722 1.9144963690351768
40000.0 4.0 0.0 2.0 259.0 0.29059107548165586 0.4986002835922118 1.5350968872860296 0.0093021128874241 0.39170142444969064 1.851478550597241
10000.0 3.0 1.0 2.0 1322.0 0.1991933305186275 0.6654124753124618 0.6717210529455993 0.0176409013974331 0.2204206992425425 1.969637750929364
10000.0 4.0 1.0 2.0 1323.0 0.19273347840190766 0.6391181219417452 0.6356946944935151 0.0163851439868451 0.20578433128916807 1.8275751289097644
20000.0 1.0 1.0 2.0 454.0 0.31004847463708535 0.8122576161023786 1.048190097558827 0.0158302499670976 0.3624649055079866 2.420370738818269
5000.0 4.0 1.0 2.0 1153.0 0.23053128367607523 0.6577275388007012 0.6531993202890692 0.0192657107566543 0.24144327809123475 1.8204315702481788
40000.0 2.0 1.0 2.0 299.0 0.36457150468857163 0.681564227238228 1.5017654000276075 0.0133055123091065 0.40473974807691654 2.063300956481688
80000.0 1.0 1.0 2.0 119.0 0.6210208047974394 0.9418463126563128 2.1462760372882888 0.0120929496601785 0.5913403745212888 2.3417891966409057
160000.0 3.0 1.0 2.0 13.0 1.2690956904467356 0.5496410291248607 6.894645863564973 0.0073312076071565 1.6336256555187747 1.9935794376846323
320000.0 1.0 1.0 2.0 7.0 1.6751530569764188 0.6891585442027249 5.093640975928712 0.0054111411131725 2.14222716867247 2.3804761428476167
20000.0 2.0 1.0 2.0 454.0 0.3021717675756073 0.6513403129540918 1.1595883976589827 0.0153658589470521 0.3502167572076789 2.0353301636699275
20000.0 3.0 1.0 2.0 454.0 0.3293860866224488 0.6852774652972108 1.244522632340234 0.015014706063344 0.3300710418089931 1.8742562780922307
160000.0 4.0 1.0 2.0 12.0 1.8726007403827971 0.7515790195658174 11.74471980501575 0.0100866282368231 1.4438390830702024 1.6213537179739277
20000.0 4.0 1.0 2.0 454.0 0.3369853893851076 0.7007070736165807 1.2060248583004576 0.01475981810278 0.33421382917204606 1.9075054097675423
320000.0 3.0 1.0 2.0 6.0 1.3944973189568322 0.4223087290912497 18.57184333905022 0.0108984536727005 2.4808061285881333 2.136976056643281
320000.0 4.0 1.0 2.0 7.0 2.6490980575672842 0.8763651587258428 11.729552147952596 0.00768974117355 1.2266334536566452 1.1126972805283737
40000.0 1.0 1.0 2.0 299.0 0.3655762688259574 0.8255155921203614 1.2585807561941715 0.0129487173384317 0.3992709218660834 2.321512194295636
160000.0 2.0 1.0 2.0 12.0 1.3377326966187701 0.5618582833829723 7.8424057024441 0.0095345778342766 1.9411688459840655 2.3143164446679725
40000.0 4.0 1.0 2.0 300.0 0.38165058170351895 0.6888188221053032 1.5602431615539176 0.0123822621365294 0.39767320373048853 1.9931292237494544
5000.0 2.0 1.0 2.0 1153.0 0.21040950121356267 0.6263885940777076 0.6442422809127688 0.0202804592169527 0.24287526779792717 1.8830138561419736
5000.0 3.0 1.0 2.0 1153.0 0.23129420920977944 0.6652155467214604 0.6495413730441307 0.0194689534232045 0.24838489856460755 1.878768177195032
40000.0 3.0 1.0 2.0 302.0 0.3458101750580729 0.6284621231908581 1.5009991899099189 0.0118733299863477 0.38100102935867297 1.9128817033680008
10000.0 1.0 1.0 2.0 1322.0 0.18727106412713274 0.7769742918480593 0.6452366425076369 0.0190829206114739 0.21479747194541504 2.24348234786374
320000.0 2.0 1.0 2.0 6.0 1.0292924061400086 0.3149979915279886 11.208324651038904 0.0072871071144636 1.141383372397374 0.983192080250175
80000.0 4.0 1.0 2.0 120.0 0.5748760822219237 0.6969801832602208 2.900762078876696 0.0113770652180305 0.5451848317051894 1.87775940742068
10000.0 2.0 1.0 2.0 1322.0 0.18866112349386643 0.6486572194289159 0.6444196104025887 0.0179356294227203 0.20873619033612414 1.8978356509025465
160000.0 1.0 1.0 2.0 12.0 1.148276043205496 0.5874704918443809 5.257304943655237 0.0073381461881328 1.788399006846015 2.4058010698889443
5000.0 1.0 1.0 2.0 1153.0 0.22203231150814393 0.7975365132285996 0.6574482734825795 0.0216658614411193 0.26718526388771946 2.379466719666607
80000.0 3.0 1.0 2.0 117.0 0.6534523119574833 0.7827686445646169 3.283656586822022 0.0128031196301813 0.5889910800980893 1.973893867386308
80000.0 2.0 1.0 2.0 120.0 0.4839383431196981 0.6074926426839414 2.6485832434377317 0.0121995460847485 0.5671180924418585 1.9734938234381325
5000.0 1.0 3.0 2.0 21086.0 0.04989468764109528 0.9784126496841472 5.919390512358589 0.0136263985530632 0.0717284019558275 3.389289695353022
5000.0 4.0 3.0 2.0 1153.0 0.2652311000898439 0.7940342647939659 0.6572583883489969 0.0227156927577619 0.26201013726056593 2.028974627355014
320000.0 3.0 3.0 2.0 6.0 2.8989959799864713 0.9913317742646331 11.709475987645938 0.0129434541642741 2.644351072114403 2.428991560298224
10000.0 1.0 3.0 2.0 1322.0 0.18714224851872072 1.003954707355205 5.661610073396832 0.0098827445818889 0.2827742548909306 3.692233110228465
80000.0 3.0 3.0 2.0 119.0 0.5158549884959228 0.7288033100198655 1.5403022015945784 0.0096619950336284 0.6506787669753359 2.418711184563236
320000.0 1.0 3.0 2.0 6.0 1.6872922261845447 0.8562511781013795 4.02719948930173 0.0015872394897011 3.500535218897078 4.415880433163924
80000.0 4.0 3.0 2.0 119.0 0.6723222117161434 0.8416940503650008 2.542735644869821 0.0144769722912919 0.6080756620864569 2.0702654770393285
5000.0 3.0 3.0 2.0 1153.0 0.2168226597369581 0.7181147319503468 0.6016836540578133 0.0202006737906124 0.24373664822445476 2.02887443926802
40000.0 1.0 3.0 2.0 301.0 0.35506855397901654 1.0578192085082576 2.5734985734338207 0.0054236600271825 0.5886985611259687 4.3446559630689725
20000.0 4.0 3.0 2.0 454.0 0.37424265547595703 0.8092888349084649 1.1882955630707188 0.0183336233957288 0.3614312456955905 2.078452968326878
40000.0 2.0 3.0 2.0 300.0 0.28584163005346447 0.7131124581519106 1.5042654505966953 0.009038237042641 0.40269681815540337 2.5437509501366424
