N,N_s,dim,alpha_a
80000,100,1,1.65
80000,100,1,1.7
80000,100,1,1.8
80000,100,1,1.85
80000,100,1,1.9
80000,100,1,1.95
80000,100,1,2.05
80000,100,1,2.1
80000,100,2,1.55
80000,100,2,1.6
80000,100,2,1.65
80000,100,2,1.7
80000,100,2,1.8
80000,100,2,1.85
80000,100,2,1.9
80000,100,2,1.95
80000,100,2,2.05
80000,100,2,2.1
80000,100,3,1.55
80000,100,3,1.6
80000,100,3,1.65
80000,100,3,1.7
80000,100,3,1.8
80000,100,3,1.85
80000,100,3,1.9
80000,100,3,1.95
80000,100,3,2.05
80000,100,3,2.1
80000,100,4,1.55
80000,100,4,1.6
80000,100,4,1.65
80000,100,4,1.7
80000,100,4,1.8
80000,100,4,1.85
80000,100,4,1.9
80000,100,4,1.95
80000,100,4,2.05
80000,100,4,2.1
160000,15,1,1.55
160000,15,1,1.6
160000,15,1,1.65
160000,15,1,1.7
160000,15,1,1.8
160000,15,1,1.85
160000,15,1,1.9
160000,15,1,1.95
160000,15,1,2.05
160000,15,1,2.1
160000,15,2,1.55
160000,15,2,1.6
160000,15,2,1.65
160000,15,2,1.7
160000,15,2,1.8
160000,15,2,1.85
160000,15,2,1.9
160000,15,2,1.95
160000,15,2,2.05
160000,15,2,2.1
160000,15,3,1.55
160000,15,3,1.6
160000,15,3,1.65
160000,15,3,1.7
160000,15,3,1.8
160000,15,3,1.85
160000,15,3,1.9
160000,15,3,1.95
160000,15,3,2.05
160000,15,3,2.1
160000,15,4,1.55
160000,15,4,1.6
160000,15,4,1.65
160000,15,4,1.7
160000,15,4,1.8
160000,15,4,1.85
160000,15,4,1.9
160000,15,4,1.95
160000,15,4,2.05
160000,15,4,2.1
320000,7,1,1.55
320000,7,1,1.6
320000,7,1,1.65
320000,7,1,1.7
320000,7,1,1.8
320000,7,1,1.85
320000,7,1,1.9
320000,7,1,1.95
320000,7,1,2.05
320000,7,1,2.1
320000,7,2,1.55
320000,7,2,1.6
320000,7,2,1.65
320000,7,2,1.7
320000,7,2,1.8
320000,7,2,1.85
320000,7,2,1.9
320000,7,2,1.95
320000,7,2,2.05
320000,7,2,2.1
320000,7,3,1.55
320000,7,3,1.6
320000,7,3,1.65
320000,7,3,1.7
320000,7,3,1.8
320000,7,3,1.85
320000,7,3,1.9
320000,7,3,1.95
320000,7,3,2.05
320000,7,3,2.1
320000,7,4,1.55
320000,7,4,1.6
320000,7,4,1.65
320000,7,4,1.7
320000,7,4,1.8
320000,7,4,1.85
320000,7,4,1.9
320000,7,4,1.95
320000,7,4,2.05
320000,7,4,2.1
5000,10000,1,2.4
5000,10000,1,2.45
5000,10000,1,2.55
5000,10000,1,2.6
5000,10000,1,2.65
5000,10000,1,2.7
5000,10000,1,2.8
5000,10000,1,2.85
5000,10000,1,2.9
5000,10000,1,2.95
5000,10000,1,3.05
5000,10000,1,3.1
5000,10000,2,2.4
5000,10000,2,2.45
5000,10000,2,2.55
5000,10000,2,2.6
5000,10000,2,2.65
5000,10000,2,2.7
5000,10000,2,2.8
5000,10000,2,2.85
5000,10000,2,2.9
5000,10000,2,2.95
5000,10000,2,3.05
5000,10000,2,3.1
5000,10000,3,2.4
5000,10000,3,2.45
5000,10000,3,2.55
5000,10000,3,2.6
5000,10000,3,2.65
5000,10000,3,2.7
5000,10000,3,2.8
5000,10000,3,2.85
5000,10000,3,2.9
5000,10000,3,2.95
5000,10000,3,3.05
5000,10000,3,3.1
5000,10000,4,2.4
5000,10000,4,2.45
5000,10000,4,2.55
5000,10000,4,2.6
5000,10000,4,2.65
5000,10000,4,2.7
5000,10000,4,2.8
5000,10000,4,2.85
5000,10000,4,2.9
5000,10000,4,2.95
5000,10000,4,3.05
5000,10000,4,3.1
10000,1600,1,2.4
10000,1600,1,2.45
10000,1600,1,2.55
10000,1600,1,2.6
10000,1600,1,2.65
10000,1600,1,2.7
10000,1600,1,2.8
10000,1600,1,2.85
10000,1600,1,2.9
10000,1600,1,2.95
10000,1600,1,3.05
10000,1600,1,3.1
10000,1600,2,2.4
10000,1600,2,2.45
10000,1600,2,2.55
10000,1600,2,2.6
10000,1600,2,2.65
10000,1600,2,2.7
10000,1600,2,2.8
10000,1600,2,2.85
10000,1600,2,2.9
10000,1600,2,2.95
10000,1600,2,3.05
10000,1600,2,3.1
10000,1600,3,2.4
10000,1600,3,2.45
10000,1600,3,2.55
10000,1600,3,2.6
10000,1600,3,2.65
10000,1600,3,2.7
10000,1600,3,2.8
10000,1600,3,2.85
10000,1600,3,2.9
10000,1600,3,2.95
10000,1600,3,3.05
10000,1600,3,3.1
10000,1600,4,2.4
10000,1600,4,2.45
10000,1600,4,2.55
10000,1600,4,2.6
10000,1600,4,2.65
10000,1600,4,2.7
10000,1600,4,2.8
10000,1600,4,2.85
10000,1600,4,2.9
10000,1600,4,2.95
10000,1600,4,3.05
10000,1600,4,3.1
20000,350,1,2.4
20000,350,1,2.45
20000,350,1,2.55
20000,350,1,2.6
20000,350,1,2.65
20000,350,1,2.7
20000,350,1,2.8
20000,350,1,2.85
20000,350,1,2.9
20000,350,1,2.95
20000,350,1,3.05
20000,350,1,3.1
20000,350,2,2.4
20000,350,2,2.45
20000,350,2,2.55
20000,350,2,2.6
20000,350,2,2.65
20000,350,2,2.7
20000,350,2,2.8
20000,350,2,2.85
20000,350,2,2.9
20000,350,2,2.95
20000,350,2,3.05
20000,350,2,3.1
20000,350,3,2.4
20000,350,3,2.45
20000,350,3,2.55
20000,350,3,2.6
20000,350,3,2.65
20000,350,3,2.7
20000,350,3,2.8
20000,350,3,2.85
20000,350,3,2.9
20000,350,3,2.95
20000,350,3,3.05
20000,350,3,3.1
20000,350,4,2.4
20000,350,4,2.45
20000,350,4,2.55
20000,350,4,2.6
20000,350,4,2.65
20000,350,4,2.7
20000,350,4,2.8
20000,350,4,2.85
20000,350,4,2.9
20000,350,4,2.95
20000,350,4,3.05
20000,350,4,3.1
40000,250,1,2.4
40000,250,1,2.45
40000,250,1,2.55
40000,250,1,2.6
40000,250,1,2.65
40000,250,1,2.7
40000,250,1,2.8
40000,250,1,2.85
40000,250,1,2.9
40000,250,1,2.95
40000,250,1,3.05
40000,250,1,3.1
40000,250,2,2.4
40000,250,2,2.45
40000,250,2,2.55
40000,250,2,2.6
40000,250,2,2.65
40000,250,2,2.7
40000,250,2,2.8
40000,250,2,2.85
40000,250,2,2.9
40000,250,2,2.95
40000,250,2,3.05
40000,250,2,3.1
40000,250,3,2.4
40000,250,3,2.45
40000,250,3,2.55
40000,250,3,2.6
40000,250,3,2.65
40000,250,3,2.7
40000,250,3,2.8
40000,250,3,2.85
40000,250,3,2.9
40000,250,3,2.95
40000,250,3,3.05
40000,250,3,3.1
40000,250,4,2.4
40000,250,4,2.45
40000,250,4,2.55
40000,250,4,2.6
40000,250,4,2.65
40000,250,4,2.7
40000,250,4,2.8
40000,250,4,2.85
40000,250,4,2.9
40000,250,4,2.95
40000,250,4,3.05
40000,250,4,3.1
80000,100,1,2.4
80000,100,1,2.45
80000,100,1,2.55
80000,100,1,2.6
80000,100,1,2.65
80000,100,1,2.7
80000,100,1,2.8
80000,100,1,2.85
80000,100,1,2.9
80000,100,1,2.95
80000,100,1,3.05
80000,100,1,3.1
80000,100,2,2.4
80000,100,2,2.45
80000,100,2,2.55
80000,100,2,2.6
80000,100,2,2.65
80000,100,2,2.7
80000,100,2,2.8
80000,100,2,2.85
80000,100,2,2.9
80000,100,2,2.95
80000,100,2,3.05
80000,100,2,3.1
80000,100,3,2.4
80000,100,3,2.45
80000,100,3,2.55
80000,100,3,2.6
80000,100,3,2.65
80000,100,3,2.7
80000,100,3,2.8
80000,100,3,2.85
80000,100,3,2.9
80000,100,3,2.95
80000,100,3,3.05
80000,100,3,3.1
80000,100,4,2.4
80000,100,4,2.45
80000,100,4,2.55
80000,100,4,2.6
80000,100,4,2.65
80000,100,4,2.7
80000,100,4,2.8
80000,100,4,2.85
80000,100,4,2.9
80000,100,4,2.95
80000,100,4,3.05
80000,100,4,3.1
160000,15,1,2.4
160000,15,1,2.45
160000,15,1,2.55
160000,15,1,2.6
160000,15,1,2.65
160000,15,1,2.7
160000,15,1,2.8
160000,15,1,2.85
160000,15,1,2.9
160000,15,1,2.95
160000,15,1,3.05
160000,15,1,3.1
160000,15,2,2.4
160000,15,2,2.45
160000,15,2,2.55
160000,15,2,2.6
160000,15,2,2.65
160000,15,2,2.7
160000,15,2,2.8
160000,15,2,2.85
160000,15,2,2.9
160000,15,2,2.95
160000,15,2,3.05
160000,15,2,3.1
160000,15,3,2.4
160000,15,3,2.45
160000,15,3,2.55
160000,15,3,2.6
160000,15,3,2.65
160000,15,3,2.7
160000,15,3,2.8
160000,15,3,2.85
160000,15,3,2.9
160000,15,3,2.95
160000,15,3,3.05
160000,15,3,3.1
160000,15,4,2.4
160000,15,4,2.45
160000,15,4,2.55
160000,15,4,2.6
160000,15,4,2.65
160000,15,4,2.7
160000,15,4,2.8
160000,15,4,2.85
160000,15,4,2.9
160000,15,4,2.95
160000,15,4,3.05
160000,15,4,3.1
320000,7,1,2.4
320000,7,1,2.45
320000,7,1,2.55
320000,7,1,2.6
320000,7,1,2.65
320000,7,1,2.7
320000,7,1,2.8
320000,7,1,2.85
320000,7,1,2.9
320000,7,1,2.95
320000,7,1,3.05
320000,7,1,3.1
320000,7,2,2.4
320000,7,2,2.45
320000,7,2,2.55
320000,7,2,2.6
320000,7,2,2.65
320000,7,2,2.7
320000,7,2,2.8
320000,7,2,2.85
320000,7,2,2.9
320000,7,2,2.95
320000,7,2,3.05
320000,7,2,3.1
320000,7,3,2.4
320000,7,3,2.45
320000,7,3,2.55
320000,7,3,2.6
320000,7,3,2.65
320000,7,3,2.7
320000,7,3,2.8
320000,7,3,2.85
320000,7,3,2.9
320000,7,3,2.95
320000,7,3,3.05
320000,7,3,3.1
320000,7,4,2.4
320000,7,4,2.45
320000,7,4,2.55
320000,7,4,2.6
320000,7,4,2.65
320000,7,4,2.7
320000,7,4,2.8
320000,7,4,2.85
320000,7,4,2.9
320000,7,4,2.95
320000,7,4,3.05
320000,7,4,3.1
5000,10000,1,3.15
5000,10000,1,3.2
5000,10000,1,3.3
5000,10000,1,3.35
5000,10000,1,3.4
5000,10000,1,3.45
5000,10000,1,3.55
5000,10000,1,3.6
5000,10000,1,3.65
5000,10000,1,3.7
5000,10000,1,3.8
5000,10000,1,3.85
5000,10000,1,3.9
5000,10000,1,3.95
5000,10000,1,4.05
5000,10000,1,4.1
5000,10000,2,3.15
5000,10000,2,3.2
5000,10000,2,3.3
5000,10000,2,3.35
5000,10000,2,3.4
5000,10000,2,3.45
5000,10000,2,3.55
5000,10000,2,3.6
5000,10000,2,3.65
5000,10000,2,3.7
5000,10000,2,3.8
5000,10000,2,3.85
5000,10000,2,3.9
5000,10000,2,3.95
5000,10000,2,4.05
5000,10000,2,4.1
5000,10000,3,3.15
5000,10000,3,3.2
5000,10000,3,3.3
5000,10000,3,3.35
5000,10000,3,3.4
5000,10000,3,3.45
5000,10000,3,3.55
5000,10000,3,3.6
5000,10000,3,3.65
5000,10000,3,3.7
5000,10000,3,3.8
5000,10000,3,3.85
5000,10000,3,3.9
5000,10000,3,3.95
5000,10000,3,4.05
5000,10000,3,4.1
5000,10000,4,3.15
5000,10000,4,3.2
5000,10000,4,3.3
5000,10000,4,3.35
5000,10000,4,3.4
5000,10000,4,3.45
5000,10000,4,3.55
5000,10000,4,3.6
5000,10000,4,3.65
5000,10000,4,3.7
5000,10000,4,3.8
5000,10000,4,3.85
5000,10000,4,3.9
5000,10000,4,3.95
5000,10000,4,4.05
5000,10000,4,4.1
10000,1600,1,3.15
10000,1600,1,3.2
10000,1600,1,3.3
10000,1600,1,3.35
10000,1600,1,3.4
10000,1600,1,3.45
10000,1600,1,3.55
10000,1600,1,3.6
10000,1600,1,3.65
10000,1600,1,3.7
10000,1600,1,3.8
10000,1600,1,3.85
10000,1600,1,3.9
10000,1600,1,3.95
10000,1600,1,4.05
10000,1600,1,4.1
10000,1600,2,3.15
10000,1600,2,3.2
10000,1600,2,3.3
10000,1600,2,3.35
10000,1600,2,3.4
10000,1600,2,3.45
10000,1600,2,3.55
10000,1600,2,3.6
10000,1600,2,3.65
10000,1600,2,3.7
10000,1600,2,3.8
10000,1600,2,3.85
10000,1600,2,3.9
10000,1600,2,3.95
10000,1600,2,4.05
10000,1600,2,4.1
10000,1600,3,3.15
10000,1600,3,3.2
10000,1600,3,3.3
10000,1600,3,3.35
10000,1600,3,3.4
10000,1600,3,3.45
10000,1600,3,3.55
10000,1600,3,3.6
10000,1600,3,3.65
10000,1600,3,3.7
10000,1600,3,3.8
10000,1600,3,3.85
10000,1600,3,3.9
10000,1600,3,3.95
10000,1600,3,4.05
10000,1600,3,4.1
10000,1600,4,3.15
10000,1600,4,3.2
10000,1600,4,3.3
10000,1600,4,3.35
10000,1600,4,3.4
10000,1600,4,3.45
10000,1600,4,3.55
10000,1600,4,3.6
10000,1600,4,3.65
10000,1600,4,3.7
10000,1600,4,3.8
10000,1600,4,3.85
10000,1600,4,3.9
10000,1600,4,3.95
10000,1600,4,4.05
10000,1600,4,4.1
20000,350,1,3.15
20000,350,1,3.2
20000,350,1,3.3
20000,350,1,3.35
20000,350,1,3.4
20000,350,1,3.45
20000,350,1,3.55
20000,350,1,3.6
20000,350,1,3.65
20000,350,1,3.7
20000,350,1,3.8
20000,350,1,3.85
20000,350,1,3.9
20000,350,1,3.95
20000,350,1,4.05
20000,350,1,4.1
20000,350,2,3.15
20000,350,2,3.2
20000,350,2,3.3
20000,350,2,3.35
20000,350,2,3.4
20000,350,2,3.45
20000,350,2,3.55
20000,350,2,3.6
20000,350,2,3.65
20000,350,2,3.7
20000,350,2,3.8
20000,350,2,3.85
20000,350,2,3.9
20000,350,2,3.95
20000,350,2,4.05
20000,350,2,4.1
20000,350,3,3.15
20000,350,3,3.2
20000,350,3,3.3
20000,350,3,3.35
20000,350,3,3.4
20000,350,3,3.45
20000,350,3,3.55
20000,350,3,3.6
20000,350,3,3.65
20000,350,3,3.7
20000,350,3,3.8
20000,350,3,3.85
20000,350,3,3.9
20000,350,3,3.95
20000,350,3,4.05
20000,350,3,4.1
20000,350,4,3.15
20000,350,4,3.2
20000,350,4,3.3
20000,350,4,3.35
20000,350,4,3.4
20000,350,4,3.45
20000,350,4,3.55
20000,350,4,3.6
20000,350,4,3.65
20000,350,4,3.7
20000,350,4,3.8
20000,350,4,3.85
20000,350,4,3.9
20000,350,4,3.95
20000,350,4,4.05
20000,350,4,4.1
40000,250,1,3.15
40000,250,1,3.2
40000,250,1,3.3
40000,250,1,3.35
40000,250,1,3.4
40000,250,1,3.45
40000,250,1,3.55
40000,250,1,3.6
40000,250,1,3.65
40000,250,1,3.7
40000,250,1,3.8
40000,250,1,3.85
40000,250,1,3.9
40000,250,1,3.95
40000,250,1,4.05
40000,250,1,4.1
40000,250,2,3.15
40000,250,2,3.2
40000,250,2,3.3
40000,250,2,3.35
40000,250,2,3.4
40000,250,2,3.45
40000,250,2,3.55
40000,250,2,3.6
40000,250,2,3.65
40000,250,2,3.7
40000,250,2,3.8
40000,250,2,3.85
40000,250,2,3.9
40000,250,2,3.95
40000,250,2,4.05
40000,250,2,4.1
40000,250,3,3.15
40000,250,3,3.2
40000,250,3,3.3
40000,250,3,3.35
40000,250,3,3.4
40000,250,3,3.45
40000,250,3,3.55
40000,250,3,3.6
40000,250,3,3.65
40000,250,3,3.7
40000,250,3,3.8
40000,250,3,3.85
40000,250,3,3.9
40000,250,3,3.95
40000,250,3,4.05
40000,250,3,4.1
40000,250,4,3.15
40000,250,4,3.2
40000,250,4,3.3
40000,250,4,3.35
40000,250,4,3.4
