alpha_a alpha_g dim A_ass A_ass_err B_ass B_ass_err A_diameter A_diameter_err B_diameter B_diameter_err A_short A_short_err B_short B_short_err
4.0 2 2 0.007384307504308873 0.0007921493369271763 -0.09754627669343977 0.008357294517311785 4.394149636676547 0.042180805724626194 -7.763221322718329 0.39828881649337833 1.6158990786276461 0.013560697470037249 -1.4900518644104197 0.1284927001010614
5.0 2 2 0.006093937980984191 0.0005930955587367033 -0.07024784889740453 0.006497337667115258 4.669165499405306 0.02982284153817587 -8.989830781723121 0.2905647620571635 1.69405647605351 0.009037328332085842 -1.606187632418967 0.08863354202535922
6.0 2 2 0.0069475411492111346 0.0007159982513926196 -0.06965055236605804 0.0068320589266560785 4.7460117340446475 0.02766251942775776 -8.791178562755425 0.24243193693051113 1.7587470992348373 0.0067790158115594735 -1.771422561717964 0.05960676353034758
7.0 2 2 0.006419493307815807 0.0004270266375428049 -0.05758503425724544 0.00406599826728573 4.889392645786919 0.038465152085011244 -9.411677270028765 0.3329048279646657 1.7991828292738798 0.009846333543562149 -1.834398848962992 0.08547446864407228
8.0 2 2 0.006221199554271453 0.00044020538689766407 -0.05030614240018285 0.004189718594818902 4.9826545202584285 0.03437194547041443 -9.745987177362634 0.2973292129129665 1.854923349369238 0.006992313601136046 -2.080753610961599 0.06061915964591592
9.0 2 2 0.004936300946643114 0.0007261891338331867 -0.03207331982119633 0.007544058805325576 5.040113228693598 0.09027496088538534 -9.797865569886927 0.8385956288099952 1.8815579572679166 0.019764537302871307 -2.114253679321955 0.18417337691636634
10.0 2 2 0.006069817563567135 0.00047431541447544165 -0.04165567124764327 0.0042246648250953076 5.0915613522802 0.049758191718613065 -10.011057704252245 0.425499223794056 1.9278265907712662 0.016169482116974367 -2.392337794507534 0.13827893286310322
11.0 2 2 0.005824297855068414 0.0007008296071061814 -0.03619051226030459 0.006405327318825392 4.970296521293773 0.05226221825531581 -8.730014146981144 0.4532171216273768 1.8812863592612052 0.016882870604311866 -1.8753465665319244 0.1465426522171542
12.0 2 2 0.0036383440480148 0.000454910773191187 -0.010232798909567993 0.005161058807315655 5.219078683930212 0.19256379447294134 -10.999213873449825 1.9077618427602243 1.9295023049593223 0.016664006626004615 -2.2590310263887567 0.1668301906693433
13.0 2 2 0.005396827172911197 0.0006088952987561195 -0.02855086482630006 0.005594644949403636 5.246478972677386 0.04634034648507553 -10.755294031842325 0.4018733441912082 1.9587254835597303 0.02429998118807619 -2.360816024689 0.21108640926559083
14.0 2 2 0.003316543646408151 0.0006036261592556139 -0.003434360917109691 0.006809235351285698 5.064420803561437 0.11472703524722912 -8.71340302457235 1.1374422301607843 1.8976472816468115 0.03301812963955576 -1.7237891524667333 0.33011516685414444
15.0 2 2 0.003483133839561488 0.0005022202311367428 -0.0036417109542792162 0.0056047539087971405 5.363008736155105 0.1502329832853683 -11.762688004716678 1.475613623696393 1.9868425337746392 0.04883162872403106 -2.547730049699599 0.48360645865369156
0.0 2 3 0.014885506709317299 0.0009433859362727613 -0.1984891101096357 0.009551756546437362 3.2590614193730842 0.036940971024092106 -5.17054737382584 0.34934914416615126 0.9990712570510383 0.006786148381313771 0.06708382313535041 0.06460053212490344
1.0 2 3 0.017200517089023315 0.0010987735214103155 -0.2311980116141687 0.011059651209481321 3.1748304013492805 0.028848164118854828 -4.726410070817503 0.2740407897974778 0.9478384339092455 0.015049284467729454 0.4215041229298343 0.1429544968027611
2.0 2 3 0.016634831198421976 0.0009908934139621812 -0.23718613766722846 0.010029481164635255 3.060548370874754 0.032261518029440855 -3.2716701005418325 0.3057716657398498 0.9417153008180538 0.016176494835600817 0.7928036372557691 0.15406326175986226
3.0 2 3 0.014744616480577762 0.0005636697874702362 -0.22212425619651027 0.005628475573840266 3.35527002363359 0.03491422388639138 -4.024583329886683 0.33063467067866564 1.1227363106002135 0.014901554021109075 0.2088232520484472 0.14145908212054822
4.0 2 3 0.01329278287354551 0.0006658505199931342 -0.18762518967823016 0.006738796422628219 3.8612384425191384 0.04977804950859982 -6.625982383163416 0.4698665411358345 1.359596890030832 0.012344582917217989 -0.8679882280709622 0.11627169516932544
